Running Traveling Salesman Algorithm - Semi Greedy...

SemiGreedy N1 - Distância da Solução: 2653.284
SemiGreedy N2 - Distância da Solução: 593.496
SemiGreedy N3 - Distância da Solução: 827.702
SemiGreedy N4 - Distância da Solução: 824.2069999999999
SemiGreedy N5 - Distância da Solução: 1257.9809999999995
SemiGreedy N6 - Distância da Solução: 421.473
SemiGreedy N7 - Distância da Solução: 1867.5720000000001
SemiGreedy N8 - Distância da Solução: 1084.6689999999999
SemiGreedy N9 - Distância da Solução: 44.998
SemiGreedy N10 - Distância da Solução: 361.874
SemiGreedy N11 - Distância da Solução: 781.113
SemiGreedy N12 - Distância da Solução: 757.456
SemiGreedy N13 - Distância da Solução: 52.517
SemiGreedy N14 - Distância da Solução: 1486.2669999999998
SemiGreedy N15 - Distância da Solução: 222.50400000000002
SemiGreedy N16 - Distância da Solução: 1414.834
SemiGreedy N17 - Distância da Solução: 166.243
SemiGreedy N18 - Distância da Solução: 617.8430000000001
SemiGreedy N19 - Distância da Solução: 1675.786
SemiGreedy N20 - Distância da Solução: 821.93
SemiGreedy N21 - Distância da Solução: 47.92
SemiGreedy N22 - Distância da Solução: 1549.7100000000003
SemiGreedy N23 - Distância da Solução: 1710.789
SemiGreedy N24 - Distância da Solução: 532.1840000000001
SemiGreedy N25 - Distância da Solução: 50.995
SemiGreedy N26 - Distância da Solução: 5330.316000000001
SemiGreedy N27 - Distância da Solução: 456.61499999999995
SemiGreedy N28 - Distância da Solução: 594.218
SemiGreedy N29 - Distância da Solução: 1814.8169999999998
SemiGreedy N30 - Distância da Solução: 1233.302
